80 Steps to Jonah (1969),"Rooney, Mickey (I)","Conley, Joe","Dale, Fred (I)","Newton, Wayne","Kahane, Jackie","Bacon, James","Schuller, Frank","Cruz, Brandon","Mineo, Sal","Bendixen, Holger","Patrick, Butch","Cross, Dennis","Quinn, Teddy","Hamilton, Don (II)","Pickens, Slim (I)","Denton, Coby","Angustain, Ira","Armstrong, R.G.","Wynn, Keenan","Mathews, Susan","Van Fleet, Jo","Tobin, Michele","Martens, Lilly","Ewing, Diana","Moran, Erin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBA: The Movie (1977),"Minor, Thomas","Olsson, Åke (I)","Sjöberg, Finn","Gassama, Malando","Carlsson, Lars (I)","Anderson, Stig","Brunkert, Ola","Marshall, Ray (I)","Eljas, Anders",Abba (I),"Hughes, Robert (III)","Etherton, David","Mansson, Michael","Wellander, Lars","Dahlborn, Ivar","Lawrence, Harry (I)","Andersson, Benny","Denbaum, Wes","Matthews, Frances","Ernest, Wojciech","Norton, Richard (I)","Andersson, Ulf","Oliver, Tom (I)","Barry, Bruce (I)","Cross, Calvin","Gunnarsson, Rutger","Ulvaeus, Björn","Lyngstad, Anni-Frid","Mansson, Sandy","Fältskog, Agnetha","Rogerson, Karlene","Andersson, Lena","Horn, Maritza","Gårdenäs-Lawton, Lena-Maria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abenteuer von Pico und Columbus, Die (1992)","Rooney, Mickey (I)","Feldman, Corey","Haggerty, Dan (I)","DeLuise, Dom","Eggar, Samantha","Cara, Irene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Absent Minded Professor, The (1961)","Tyler, Leon","Holmes, Wendell (I)","Patterson, Hank","MacMurray, Fred","Wilson, Tom (I)","Wynn, Keenan","Bailey, Raymond","Teal, Ray","Dillaway, Don","Sayre, Jeffrey","Hewitt, Alan (I)","Ross, Don (I)","Martin, Gordon (I)","McKeever, Marlin","Westerfield, James","Jones, Gordon (I)","Frees, Paul","Norell, Henry","Palmer, Gregg (I)","Burns, Paul E.","Mullaney, Jack","Wynn, Ed","Andrews, Edward (I)","Clarke, Gage","Clanton, Ralph","McKeever, Mike","Baldwin, Bill (II)","Wynn, Ned","Lewis, Forrest","Briggs, Charlie","Boag, Wally","Adams, Carroll","Brown, Wally","Reid, Elliott","Lewis, David (III)","Kirk, Tommy","Ames, Leon","Burton, Robert (I)","Fryer, Mike","Carney, Alan","Prickett, Maudie","Olson, Nancy","Montrose, Belle","Flowers, Bess","Wells, Carole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aches and Snakes (1973),"Mann, Larry D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Across the Great Divide (1976),"Bokar, Hal","Celis, Fernando (I)","Hall, Mark Edward","Elk, James","Ewing, Loren","Logan, Robert (I)","Indian People of Utah and Canada, The","Salsedo, Frank","Cowley, Stan","Kauffman, John","Flower, George 'Buck'","Rattray, Heather","Brooks, Tiny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Across the Sea of Time (1995),"Buckley, Robert (I)","Steinbach, Victor","Reznick, Peter (I)","Boyden, Peter","Ferstenberg, Bernard","Colucci, George G.","Levy, Philip","McDonough, John (I)","Petrozza, Luigi","Flynn, Patrick (II)","Muglia, Nick","Hoffman, Avi","Trump, Donald","Malloy, Matt (I)","May, Seth Michael","Roeder, Tommy","Harris, Eliza","Lewis, Abby","Dominic, Heather Rose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adventures of Cinderella's Daughter, The (2000)","Lando, Joe","Wagner, Matthew (I)","Wise, Jim (I)","Lee, Stan (I)","Shiers, Laurie","Lavoie, Liz","Jones, Shirley (I)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adventures of Elmo in Grouchland, The (1999)","Stone, Andy (II)","Thatcher, Kirk R.","McGrath, Bob (I)","Boone, John (II)","Delgado, Emilio (I)","Oz, Frank","Rudman, David","Barretta, Bill","Orman, Roscoe","Gormon, Rowell","Goelz, Dave","Robinson, Martin P.","May, Ed","Eichelberger, Jodi","Lynch, Bob","Patinkin, Mandy","Parati, Tim","Allison, Drew (I)","Mazzarino, Joey","Vogel, Matt (II)","Bryan, R. Lee","Killen, Rob","Whitmire, Steve","Spinney, Carroll","Nelson, Jerry (I)","Clash, Kevin (I)","Lanoil, Bruce","Yates, Matt","Harrison, Mary (II)","Brill, Fran","Sturz, Lisa","Long, Loretta","Carrara, Leslie","Osbahr, Carmen","Manzano, Sonia","Williams, Vanessa L.","Peterle, Annie","Buzzi, Ruth","Bartlett, Alison","Consolo, Lisa","D'Abruzzo, Stephanie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventures of Frontier Fremont (1976),"Goodman, Norman","Mirrati, Tony","Haggerty, Dan (I)","Shanks, Don","Pyle, Denver","Sollenberger, Lee","Hernandez, Teri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adventures of Huckleberry Finn, The (1939)","Watson, Billy (II)","Keane, Robert Emmett","Warren, E. Alyn","Rentschler, Mickey","Graves, Jesse","Rooney, Mickey (I)","Brady, Edward (I)","Darien, Frank","Frawley, William","Briggs, Harlan","Price, Alonzo","Boteler, Wade","Walsh, Johnny (I)","Kilian, Victor (I)","Bacon, Irving","Watson, Harry (II)","Aylesworth, Arthur","Ingram, Rex (I)","Alderson, Erville","Watson, Minor","Watson, Delmar (I)","Connolly, Walter","Cording, Harry","Guhl, George","Imhof, Roger","Kelly, Lew","Edwards, Sarah (I)","Padden, Sarah","O'Neal, Anne","Chambers, Janice","Carver, Lynne","Lynn, Leni","Cecil, Nora","Blandick, Clara","Sayers, Jo Ann","Risdon, Elisabeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
